HeatData11,HeatData12,HeatData13,HeatData14,HeatData15,HeatData16,HeatData17,HeatData18,HeatData19,HeatData110,HeatData111,HeatData112
0.7719,0.9375,0.791044776,0.7609,0.8837,0.902439024,0.7651,0.9067,0.852348993,0.849,0.968,0.894
0.8222,0.9,0.807692308,0.7308,0.8545,0.967479675,0.7584,0.8667,0.939597315,0.839,0.958,0.866
0.8252,0.9107,0.9375,0.6957,0.7895,0.837837838,0.7852,0.88,0.912751678,0.834,0.857,0.882
0.7449,0.8246,0.90990991,0.6471,0.7778,0.789473684,0.7114,0.81333,0.879194631,0.753,0.824,0.86
0.7273,0.7931,0.807692308,0.6809,0.8478,0.865979381,0.698,0.8267,0.845637584,0.776,0.898,0.837
0.8056,0.8571,0.7941,0.7168,0.8519,0.8609,0.7383,0.8533,0.8456,0.792,0.899,0.781
0.8511,0.95,0.744186047,0.6961,0.8727,0.839622642,0.745,0.8933,0.812080537,0.812,0.955,0.767
